iter,min,max
8,-4.0,2.21606648199446
9,-4.0,2.21606648199446
9,-4.0,2.21606648199446
9,-4.0,2.21606648199446
9,-4.0,2.21606648199446
9,-4.0,2.21606648199446
9,-4.0,3.0
9,-4.0,2.21606648199446
0,-1.0,0.0
10,-1.0,0.0
10,-1.0,0.0
10,-1.0,1.0
10,-1.0,1.0
10,-1.0,1.0
10,-1.0,1.0
11,-1.0,1.0
11,-1.0,1.0
11,-2.0,1.0
11,-2.0,1.0
11,-2.0,1.0
11,-2.0,2.0
11,-2.0,2.0
12,-2.0,2.0
12,-2.0,2.0
12,-3.0,2.0
13,-3.0,3.0
13,-3.0,2.21606648199446
14,-3.0,3.0
14,-3.0,2.21606648199446
15,-3.0,2.21606648199446
15,-3.0,3.0
15,-3.0,2.21606648199446
16,-3.0,3.0
16,-3.0,2.21606648199446
18,-3.0,2.21606648199446
18,-3.0,2.21606648199446
18,-3.0,2.21606648199446
18,-3.0,3.0
18,-3.0,2.21606648199446
18,-3.0,2.21606648199446
18,-3.0,2.21606648199446
0,-1.0,0.0
0,-1.0,1.0
0,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
0,-1.0,0.0
3,-1.0,0.0
3,-1.0,0.0
3,-1.0,1.0
3,-1.0,1.0
3,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
4,-2.0,1.0
5,-2.0,1.0
5,-2.0,1.0
5,-2.0,1.0
5,-2.0,1.0
5,-2.0,1.0
5,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
6,-2.0,1.0
7,-2.0,1.0
7,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
8,-2.0,1.0
9,-2.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
9,-3.0,1.0
10,-3.0,1.0
10,-3.0,1.0
10,-3.0,1.0
10,-3.0,1.0
10,-3.0,1.0
11,-3.0,1.0
11,-3.0,1.0
11,-3.0,1.0
0,-1.0,0.0
0,-1.0,1.0
0,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-1.0,1.0
1,-2.0,1.0
1,-2.0,1.0
1,-2.0,1.0
2,-2.0,1.0
2,-3.0,1.0
2,-3.0,1.0
2,-3.0,1.0
2,-3.0,2.0
2,-3.0,2.0
2,-4.0,2.0
3,-4.0,2.0
3,-4.0,2.0
3,-4.0,2.0
3,-4.0,3.0
3,-4.0,3.0
3,-4.0,3.0
3,-4.0,3.0
4,-4.0,3.0
4,-4.0,3.0
4,-4.0,4.0
4,-4.0,4.0
4,-4.0,4.0
5,-5.0,4.0
5,-5.0,5.0
5,-5.0,5.0
6,-6.0,5.0
6,-6.0,6.0
6,-6.0,6.0
7,-6.0,7.0
7,-7.0,7.0
8,-7.0,7.0
0,-4.0,0.0
0,-4.0,1.0
0,-4.0,0.0
0,-4.0,0.0
0,-4.0,0.0
